spotify_id,Song,Artist,Rank,Genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2UKYMN7VnsQo40n0qCt6Sa,Porcelain,Moby,34,electronic,0.797,0.99,-8.001,0.0458,0.000375,0.419,0.0333,0.926,125.023
17hdos7cv1vAvcfoTU4Pym,The Only One I Know,The Charlatans,35,electronic,0.688,0.864,-4.957,0.151,0.269,0.000172,0.0357,0.667,180.052
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remastered Version,Blur,36,electronic,0.696,0.724,-4.86,0.0345,0.65,0,0.104,0.965,99.929
6OGRM4MAOlyOdhHuX0OJ6P,A New Error,Moderat,37,electronic,0.469,0.824,-10.785,0.0944,0.478,0.268,0.076,0.781,220.081
3vyKSb9sAdXl0kQ1KnS9fY,Emerge,Fischerspooner,38,electronic,0.801,0.736,-8.897,0.0395,0.343,0.000183,0.0429,0.942,105.009
0h26qoZNRIuUfuIellYQ1A,Finished Symphony - deadmau5 Remix,Hybrid,39,electronic,0.817,0.794,-8.324,0.0752,0.0563,0.229,0.0687,0.921,116.423
58eKLwmiYrJAqNlv96pwlP,Hayling (feat. Hafdis Huld),FC Kahuna,40,electronic,0.54,0.945,-5.021,0.271,0.315,0,0.405,0.551,92.013
5KCxJigVaM0XlRC8TZeQl4,Prime Audio Soup,Meat Beat Manifesto,41,electronic,0.358,0.905,-5.776,0.453,0.304,0,0.454,0.468,176.67
7lsFHOFeMyWiqaKrESLudT,Ready For The Floor,Hot Chip,42,electronic,0.778,0.711,-11.367,0.0643,0.352,0.0473,0.969,0.858,108.127
5drK2kTE2mrUdV33iHWyrx,Mad About You,Hooverphonic,43,electronic,0.285,0.734,-6.956,0.0506,0.3,0.0231,0.903,0.243,140.224
7eh33sXffuOKPOZ9xWkQsi,Set My Baby Free,Ian Brown,44,electronic,0.806,0.478,-11.387,0.107,0.77,0.00036,0.0856,0.959,89.938
21RDsw7wzUJNl2FbWTgEfJ,Praise You - Radio Edit,Fatboy Slim,45,electronic,0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007
0C2GT6MXWGRo7PIeeFq9zu,Days Go By,Dirty Vegas,46,electronic,0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007
2bQ3lk19XCgwuNMXSSXivI,Connected,Stereo MC's,47,electronic,0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,145.007
2JUS3pY1gTbypRyC8Ztj2m,You Read My Cards Wrong,Red Snapper,48,electronic,0.7,0.49,-5.187,0.076,0.186,0,0.117,0.569,79.982
